#   No  Energy (eV)          osc        osc x        osc y        osc z
     0      1.23635 8.907002e-03 4.884664e-03 2.099494e-02 8.414056e-04
     1      1.24670 9.076571e-03 2.225818e-02 4.932797e-03 3.874121e-05
     2      1.29083 1.284263e-06 3.490579e-06 3.348612e-07 2.734769e-08
     3      1.37929 1.555139e-06 2.323845e-06 2.299061e-06 4.251040e-08
     4      1.38994 4.534954e-06 2.617913e-08 2.677409e-06 1.090127e-05
     5      1.57226 3.813744e-03 3.741609e-05 4.407328e-04 1.096308e-02
     6      1.60502 7.506365e-03 5.925985e-03 1.592785e-02 6.652642e-04
     7      1.62302 6.638538e-03 1.388579e-02 5.961460e-03 6.836780e-05
     8      1.76787 4.606700e-02 1.349739e-01 3.204435e-03 2.270191e-05
     9      1.76872 4.868638e-02 2.904728e-03 1.391234e-01 4.030962e-03
    10      1.81618 2.345674e-02 4.895007e-02 2.103981e-02 3.803326e-04
    11      1.82386 2.393678e-02 2.646915e-02 4.329529e-02 2.045904e-03
    12      1.95544 8.687442e-05 1.728618e-05 9.734235e-06 2.336028e-04
    13      2.11341 2.106620e-01 1.204157e-03 1.947451e-02 6.113072e-01
    14      2.20017 2.671947e-05 4.518804e-06 4.566815e-05 2.997146e-05
    15      2.43370 3.953587e-02 4.043996e-02 7.391831e-02 4.249331e-03
    16      2.44346 4.660609e-02 9.323440e-02 4.547242e-02 1.111454e-03
    17      2.53879 1.197828e+00 6.684511e-03 1.099193e-01 3.476880e+00
    18      2.59238 1.215914e-03 1.499827e-05 8.370346e-06 3.624373e-03
    19      2.61155 1.272395e-03 4.032317e-05 3.136980e-05 3.745491e-03
    20      2.65666 4.542699e-03 4.744559e-03 1.969219e-04 8.686615e-03
    21      2.67974 9.275782e-01 1.464999e-02 2.544061e+00 2.240233e-01
    22      2.68112 9.943434e-01 2.975319e+00 4.312548e-04 7.280260e-03
    23      2.69248 7.634561e-01 3.447050e-03 2.251306e-01 2.061791e+00
    24      2.73668 2.693961e-01 1.943534e-01 5.930536e-01 2.078144e-02
    25      2.74800 2.256061e-01 4.633922e-01 2.107522e-01 2.673894e-03
    26      2.78626 5.503330e-01 6.917418e-01 9.146684e-01 4.458892e-02
    27      2.78993 4.787041e-01 8.236726e-01 6.028345e-01 9.605222e-03
    28      2.80887 1.233274e-04 1.006544e-05 3.543737e-04 5.542918e-06
    29      2.84925 1.151021e-03 4.481662e-05 1.901296e-03 1.506949e-03
    30      2.85603 1.109406e-04 2.160684e-06 2.877297e-04 4.293132e-05
    31      2.88843 6.332673e-04 2.405590e-04 1.621938e-03 3.730498e-05
    32      2.89687 6.643719e-04 7.331427e-04 1.170565e-03 8.940813e-05
    33      2.90071 5.688740e-06 1.450868e-05 2.476035e-06 8.150714e-08
    34      2.90694 6.446323e-05 9.839685e-06 1.647420e-04 1.880802e-05
    35      2.97118 7.719719e-02 1.274997e-01 1.023727e-01 1.719138e-03
    36      2.97676 7.042262e-02 9.608831e-02 1.097108e-01 5.468740e-03
    37      3.09097 6.218409e-03 3.603880e-05 1.009829e-03 1.760936e-02
    38      3.11029 2.636414e-04 1.430428e-05 4.018725e-06 7.726012e-04
    39      3.15794 1.862885e-02 3.849882e-02 1.719724e-02 1.904763e-04
    40      3.16433 1.745854e-02 1.611016e-02 3.471187e-02 1.553584e-03
    41      3.20373 6.325680e-03 7.012392e-05 6.013400e-04 1.830558e-02
    42      3.22022 6.001209e-04 1.024561e-05 2.487661e-04 1.541351e-03
    43      3.22278 2.370132e-05 4.270395e-07 6.992903e-05 7.478871e-07
    44      3.23720 6.651449e-05 5.205282e-07 1.524694e-05 1.837760e-04
    45      3.30441 2.050502e-06 3.300314e-06 2.749254e-06 1.019380e-07
    46      3.40948 9.027127e-02 4.799338e-02 2.178384e-01 4.982020e-03
    47      3.41870 9.322290e-02 2.300100e-01 4.939835e-02 2.603973e-04
    48      3.46659 2.307060e-03 3.889268e-03 2.674799e-03 3.571146e-04
    49      3.47049 8.844724e-04 1.016023e-04 2.534207e-03 1.760777e-05
    50      3.47302 3.931889e-04 1.174022e-03 5.512520e-06 3.244364e-08
