# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.050000     1.7428806236e+00     0.0000000000e+00     0.0000000000e+00
    4.100000     9.8801505974e-01     0.0000000000e+00     0.0000000000e+00
    4.150000     5.9157379087e-01     0.0000000000e+00     0.0000000000e+00
    4.200000     4.9993356658e-01     0.0000000000e+00     0.0000000000e+00
    4.250000     5.9327679124e-01     0.0000000000e+00     0.0000000000e+00
    4.300000     5.1062935608e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     2.5189667092e-01     0.0000000000e+00    -0.0000000000e+00
    4.400000     8.4045758539e-02     0.0000000000e+00    -0.0000000000e+00
    4.450000     8.8787448251e-02     0.0000000000e+00     0.0000000000e+00
    4.500000     2.7706340155e-01     0.0000000000e+00     0.0000000000e+00
    4.550000     6.0596654321e-01     0.0000000000e+00     0.0000000000e+00
    4.600000     8.6968696618e-01    -0.0000000000e+00     0.0000000000e+00
    4.650000     9.1264740181e-01    -0.0000000000e+00     0.0000000000e+00
    4.700000     7.2564779861e-01     0.0000000000e+00     0.0000000000e+00
    4.750000     4.1188349556e-01     0.0000000000e+00     0.0000000000e+00
    4.800000     2.0428615293e-01     0.0000000000e+00     0.0000000000e+00
    4.850000     1.6474263553e-01     0.0000000000e+00     0.0000000000e+00
    4.900000     1.7482896687e-01     0.0000000000e+00     0.0000000000e+00
    4.950000     2.0529940687e-01     0.0000000000e+00     0.0000000000e+00
    5.000000     3.2067057332e-01    -0.0000000000e+00     0.0000000000e+00
    5.050000     5.5625700129e-01    -0.0000000000e+00     0.0000000000e+00
    5.100000     8.6460155728e-01    -0.0000000000e+00     0.0000000000e+00
    5.150000     9.5355352702e-01     0.0000000000e+00     0.0000000000e+00
    5.200000     6.9273698932e-01     0.0000000000e+00     0.0000000000e+00
    5.250000     3.7888094717e-01     0.0000000000e+00    -0.0000000000e+00
    5.300000     2.0865908373e-01     0.0000000000e+00    -0.0000000000e+00
    5.350000     1.4649886855e-01     0.0000000000e+00    -0.0000000000e+00
    5.400000     1.1433046023e-01    -0.0000000000e+00     0.0000000000e+00
    5.450000     8.5130776085e-02    -0.0000000000e+00     0.0000000000e+00
    5.500000     8.2396379724e-02     0.0000000000e+00     0.0000000000e+00
    5.550000     1.2416112418e-01     0.0000000000e+00     0.0000000000e+00
    5.600000     1.8060573440e-01     0.0000000000e+00     0.0000000000e+00
    5.650000     2.1927351844e-01     0.0000000000e+00     0.0000000000e+00
    5.700000     2.1073129339e-01     0.0000000000e+00     0.0000000000e+00
    5.750000     1.5520423419e-01     0.0000000000e+00     0.0000000000e+00
    5.800000     1.1538431547e-01     0.0000000000e+00     0.0000000000e+00
    5.850000     1.4197625485e-01    -0.0000000000e+00     0.0000000000e+00
    5.900000     1.8964828203e-01    -0.0000000000e+00     0.0000000000e+00
    5.950000     1.7132835167e-01     0.0000000000e+00     0.0000000000e+00
    6.000000     1.1287379216e-01    -0.0000000000e+00     0.0000000000e+00
    6.050000     9.9741809277e-02    -0.0000000000e+00     0.0000000000e+00
    6.100000     1.2644422237e-01     0.0000000000e+00     0.0000000000e+00
    6.150000     1.2861145292e-01     0.0000000000e+00    -0.0000000000e+00
    6.200000     1.1713661219e-01     0.0000000000e+00    -0.0000000000e+00
    6.250000     1.4947787893e-01     0.0000000000e+00    -0.0000000000e+00
    6.300000     2.0797705529e-01     0.0000000000e+00    -0.0000000000e+00
    6.350000     2.0512438379e-01     0.0000000000e+00     0.0000000000e+00
    6.400000     1.4311256616e-01     0.0000000000e+00     0.0000000000e+00
    6.450000     9.7520658329e-02     0.0000000000e+00     0.0000000000e+00
    6.500000     7.0682811981e-02     0.0000000000e+00     0.0000000000e+00
    6.550000     4.6880689607e-02    -0.0000000000e+00     0.0000000000e+00
    6.600000     3.5786075897e-02    -0.0000000000e+00     0.0000000000e+00
    6.650000     3.4314857773e-02     0.0000000000e+00     0.0000000000e+00
    6.700000     2.9330293560e-02     0.0000000000e+00     0.0000000000e+00
    6.750000     3.0532707468e-02     0.0000000000e+00     0.0000000000e+00
    6.800000     4.5603370892e-02    -0.0000000000e+00    -0.0000000000e+00
    6.850000     6.2993259866e-02     0.0000000000e+00     0.0000000000e+00
    6.900000     8.2427125363e-02     0.0000000000e+00     0.0000000000e+00
    6.950000     1.0326714970e-01     0.0000000000e+00     0.0000000000e+00
    7.000000     1.0321792458e-01     0.0000000000e+00     0.0000000000e+00
    7.050000     8.4913145964e-02     0.0000000000e+00     0.0000000000e+00
    7.100000     6.5016322685e-02     0.0000000000e+00     0.0000000000e+00
    7.150000     4.5524504579e-02     0.0000000000e+00    -0.0000000000e+00
    7.200000     3.3111493314e-02    -0.0000000000e+00    -0.0000000000e+00
    7.250000     2.5926038032e-02    -0.0000000000e+00     0.0000000000e+00
    7.300000     2.2242919800e-02    -0.0000000000e+00     0.0000000000e+00
    7.350000     2.5762271291e-02     0.0000000000e+00     0.0000000000e+00
    7.400000     3.1604516328e-02     0.0000000000e+00     0.0000000000e+00
    7.450000     3.1156911995e-02     0.0000000000e+00     0.0000000000e+00
    7.500000     2.7173612529e-02     0.0000000000e+00     0.0000000000e+00
    7.550000     2.5734387689e-02     0.0000000000e+00    -0.0000000000e+00
    7.600000     2.7311964519e-02     0.0000000000e+00    -0.0000000000e+00
    7.650000     2.9102389260e-02     0.0000000000e+00     0.0000000000e+00
    7.700000     2.6293340059e-02     0.0000000000e+00     0.0000000000e+00
    7.750000     2.0351771890e-02    -0.0000000000e+00     0.0000000000e+00
    7.800000     1.4361489770e-02    -0.0000000000e+00    -0.0000000000e+00
