# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.100000    -0.0000000000e+00    -0.0000000000e+00     4.9852604167e-01
    4.150000    -0.0000000000e+00    -0.0000000000e+00     5.4484692019e-01
    4.200000     0.0000000000e+00    -0.0000000000e+00     7.8806370677e-01
    4.250000     0.0000000000e+00    -0.0000000000e+00     8.8296264772e-01
    4.300000     0.0000000000e+00    -0.0000000000e+00     6.2262248800e-01
    4.350000    -0.0000000000e+00    -0.0000000000e+00     3.6729595498e-01
    4.400000    -0.0000000000e+00     0.0000000000e+00     3.4602598166e-01
    4.450000    -0.0000000000e+00     0.0000000000e+00     4.0173810502e-01
    4.500000     0.0000000000e+00     0.0000000000e+00     3.5013848454e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     2.6613404975e-01
    4.600000     0.0000000000e+00     0.0000000000e+00     3.0272840656e-01
    4.650000     0.0000000000e+00     0.0000000000e+00     5.5139885603e-01
    4.700000     0.0000000000e+00    -0.0000000000e+00     9.1157445639e-01
    4.750000     0.0000000000e+00    -0.0000000000e+00     9.6892194156e-01
    4.800000     0.0000000000e+00    -0.0000000000e+00     6.3560232496e-01
    4.850000    -0.0000000000e+00    -0.0000000000e+00     3.4635833632e-01
    4.900000    -0.0000000000e+00    -0.0000000000e+00     3.3873643395e-01
    4.950000    -0.0000000000e+00    -0.0000000000e+00     5.2115185671e-01
    5.000000    -0.0000000000e+00     0.0000000000e+00     6.8109626369e-01
    5.050000    -0.0000000000e+00     0.0000000000e+00     6.0851646860e-01
    5.100000    -0.0000000000e+00     0.0000000000e+00     3.7934329820e-01
    5.150000    -0.0000000000e+00     0.0000000000e+00     2.2485328158e-01
    5.200000    -0.0000000000e+00    -0.0000000000e+00     1.6980847539e-01
    5.250000    -0.0000000000e+00    -0.0000000000e+00     1.6731191537e-01
    5.300000    -0.0000000000e+00    -0.0000000000e+00     2.0776753071e-01
    5.350000    -0.0000000000e+00    -0.0000000000e+00     2.4294060479e-01
    5.400000    -0.0000000000e+00    -0.0000000000e+00     2.2865609059e-01
    5.450000    -0.0000000000e+00    -0.0000000000e+00     1.8962914416e-01
    5.500000    -0.0000000000e+00    -0.0000000000e+00     1.6215277277e-01
    5.550000    -0.0000000000e+00    -0.0000000000e+00     1.6286071850e-01
    5.600000    -0.0000000000e+00    -0.0000000000e+00     1.8692255782e-01
    5.650000    -0.0000000000e+00    -0.0000000000e+00     1.8716558994e-01
    5.700000     0.0000000000e+00    -0.0000000000e+00     1.4796181263e-01
    5.750000     0.0000000000e+00    -0.0000000000e+00     1.3012661351e-01
    5.800000     0.0000000000e+00    -0.0000000000e+00     1.7819464334e-01
    5.850000     0.0000000000e+00    -0.0000000000e+00     2.3585221127e-01
    5.900000     0.0000000000e+00    -0.0000000000e+00     2.2552508628e-01
    5.950000    -0.0000000000e+00    -0.0000000000e+00     1.8488476767e-01
    6.000000    -0.0000000000e+00    -0.0000000000e+00     1.8350579114e-01
    6.050000     0.0000000000e+00    -0.0000000000e+00     2.0703209267e-01
    6.100000     0.0000000000e+00    -0.0000000000e+00     1.9072106211e-01
    6.150000    -0.0000000000e+00    -0.0000000000e+00     1.3282707009e-01
    6.200000    -0.0000000000e+00     0.0000000000e+00     9.0183917403e-02
    6.250000     0.0000000000e+00    -0.0000000000e+00     8.2259998790e-02
