# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
       1963.30182012       3.33066907e-16    -1.410084069900e-03     1.635261934487e-03     3.614200274887e-03
       1964.54206132       6.10622664e-16    -1.432110672244e-03     1.589107452173e-03     3.606959134900e-03
       1965.78230252       5.13478149e-16    -1.451005101077e-03     1.547717523230e-03     3.598938290853e-03
       1967.02254372      -3.19189120e-16    -1.466598344685e-03     1.511701001125e-03     3.590271176508e-03
       1968.26278492      -2.60902411e-15    -1.478792202322e-03     1.481729618685e-03     3.581125554685e-03
       1969.50302612      -1.13797860e-15    -1.487549934496e-03     1.458432402538e-03     3.571695135034e-03
       1970.74326732      -7.49400542e-16    -1.492832226441e-03     1.442335479744e-03     3.562103931732e-03
       1971.98350852       1.41553436e-15    -1.494674258139e-03     1.433836661996e-03     3.552410127750e-03
       1973.22374972       8.32667268e-16    -1.493098450916e-03     1.433067755055e-03     3.542708044713e-03
       1974.46399092       2.47024623e-15    -1.488155303222e-03     1.440221314048e-03     3.533156234484e-03
       1975.70423212       2.96984659e-15    -1.479911674807e-03     1.455313437766e-03     3.523928918995e-03
       1976.94447332      -1.47104551e-15    -1.468405540598e-03     1.478131954177e-03     3.515112857409e-03
       1978.18471452      -1.59594560e-15    -1.453630460450e-03     1.508507393094e-03     3.506787341462e-03
       1979.42495572      -5.25968158e-15    -1.435604139429e-03     1.546200976460e-03     3.499091548291e-03
       1980.66519692       1.22124533e-15    -1.414469545850e-03     1.590683769300e-03     3.492195011546e-03
       1981.90543812       1.98452366e-15    -1.390430577015e-03     1.641244567446e-03     3.486174566023e-03
       1983.14567932       1.37390099e-15    -1.363657377998e-03     1.697173076907e-03     3.481018530513e-03
       1984.38592052      -2.30371278e-15    -1.334360241513e-03     1.757736688734e-03     3.476753512741e-03
       1985.62616172      -1.13797860e-15    -1.302855749877e-03     1.821906344426e-03     3.473489894966e-03
       1986.86640292      -2.88657986e-15    -1.269437238379e-03     1.888608653029e-03     3.471328554202e-03
       1988.10664412       9.02056208e-16    -1.234449847783e-03     1.956741001526e-03     3.470353211503e-03
       1989.34688532       2.35922393e-15    -1.198353273601e-03     2.025202699333e-03     3.470569323119e-03
       1990.58712652      -6.24500451e-16    -1.161620677286e-03     2.092820762310e-03     3.471920344494e-03
       1991.82736772      -1.19348975e-15    -1.124666061858e-03     2.158444375795e-03     3.474332119451e-03
       1993.06760892      -2.20656826e-15    -1.087993753023e-03     2.220959596846e-03     3.477791310074e-03
       1994.30785012      -1.54043445e-15    -1.052201361511e-03     2.279394952235e-03     3.482236947941e-03
       1995.54809132      -4.44089210e-15    -1.017895474811e-03     2.332795808893e-03     3.487579823606e-03
       1996.78833252      -5.96744876e-16    -9.856410883087e-04     2.380132656441e-03     3.493721660179e-03
       1998.02857372       3.74700271e-16    -9.559703910389e-04     2.420480898947e-03     3.500609340254e-03
       1999.26881493       1.72084569e-15    -9.294275071210e-04     2.453219330572e-03     3.508153824347e-03
       2000.50905613      -3.60822483e-16    -9.064692955980e-04     2.477887467550e-03     3.516229192514e-03
       2001.74929733       2.77555756e-17    -8.875907409847e-04     2.493886944563e-03     3.524850625042e-03
       2002.98953853      -9.57567359e-16    -8.732113049210e-04     2.500982875683e-03     3.533978839087e-03
       2004.22977973       3.76088050e-15    -8.637193701531e-04     2.499076406829e-03     3.543455173091e-03
       2005.47002093      -1.59594560e-15    -8.595231783071e-04     2.488212888862e-03     3.553116691876e-03
       2006.71026213       1.38777878e-16    -8.607403004208e-04     2.468645671362e-03     3.562924472751e-03
       2007.95050333      -6.38378239e-16    -8.674208386443e-04     2.440678658970e-03     3.572784424622e-03
       2009.19074453      -2.22044605e-16    -8.795344536825e-04     2.404746029466e-03     3.582537361982e-03
       2010.43098573       2.34534614e-15    -8.969377349857e-04     2.361493087436e-03     3.592069860721e-03
       2011.67122693      -9.15933995e-16    -9.193696463323e-04     2.311738513751e-03     3.601294389641e-03
       2012.91146813      -8.32667268e-17    -9.464953526792e-04     2.256431936988e-03     3.610042964481e-03
       2014.15170933       2.91433544e-16    -9.779462165684e-04     2.196448950897e-03     3.618163161534e-03
       2015.39195053       1.44328993e-15    -1.013245110117e-03     2.132734108002e-03     3.625537315267e-03
       2016.63219173      -1.40165657e-15    -1.051870265682e-03     2.066371933709e-03     3.632093634041e-03
       2017.87243293      -3.88578059e-15    -1.093210990017e-03     1.998476634400e-03     3.637745526232e-03
       2019.11267413       8.32667268e-16    -1.136475542778e-03     1.930152335494e-03     3.642363396440e-03
       2020.35291533       4.85722573e-16    -1.180826794679e-03     1.862537464683e-03     3.645823957099e-03
       2021.59315653       5.68989300e-16    -1.225541682904e-03     1.796759398171e-03     3.648065132305e-03
       2022.83339773      -2.72004641e-15    -1.269974059229e-03     1.733841297882e-03     3.649069505171e-03
       2024.07363893       1.42941214e-15    -1.313473539988e-03     1.674661410926e-03     3.648837420728e-03
       2025.31388013       6.93889390e-17    -1.355337310072e-03     1.620020231416e-03     3.647368029245e-03
       2026.55412133      -8.18789481e-16    -1.394847966285e-03     1.570722255148e-03     3.644657362591e-03
       2027.79436253      -1.23512311e-15    -1.431423686244e-03     1.527438585214e-03     3.640761405529e-03
       2029.03460373       1.38777878e-17    -1.464526025765e-03     1.490711693077e-03     3.635715721213e-03
       2030.27484493       1.83186799e-15    -1.493729540927e-03     1.460965745398e-03     3.629537817744e-03
       2031.51508613      -1.11022302e-16    -1.518534002951e-03     1.438578356788e-03     3.622233544729e-03
       2032.75532733       2.23432384e-15    -1.538546632621e-03     1.423841130516e-03     3.613952739490e-03
       2033.99556853      -4.73232564e-15    -1.553510753209e-03     1.416860911981e-03     3.604886563566e-03
       2035.23580973       1.38777878e-17    -1.563384557010e-03     1.417618182428e-03     3.595156548124e-03
       2036.47605093       1.47104551e-15    -1.568115597936e-03     1.425964115293e-03     3.584903343677e-03
       2037.71629214      -1.15185639e-15    -1.567655366326e-03     1.441569029830e-03     3.574320940545e-03
       2038.95653334       1.77635684e-15    -1.562032613033e-03     1.464126236157e-03     3.563555007793e-03
       2040.19677454      -5.41233725e-16    -1.551422971483e-03     1.493371111200e-03     3.552711729559e-03
       2041.43701574       4.16333634e-17    -1.536023852652e-03     1.528932735283e-03     3.541902974497e-03
       2042.67725694      -1.76247905e-15    -1.516048176054e-03     1.570247244326e-03     3.531274037044e-03
       2043.91749814      -2.96984659e-15    -1.491819631667e-03     1.616616430343e-03     3.521001922904e-03
       2045.15773934      -3.67761377e-15    -1.463773810006e-03     1.667300757977e-03     3.511263404010e-03
       2046.39798054      -2.35922393e-16    -1.432290481085e-03     1.721688504789e-03     3.502194895454e-03
       2047.63822174      -5.19029264e-15    -1.397853958018e-03     1.779023899049e-03     3.493919485146e-03
       2048.87846294      -5.41233725e-16    -1.360953375249e-03     1.838465749949e-03     3.486554331350e-03
       2050.11870414       2.42861287e-15    -1.322111011200e-03     1.899074336983e-03     3.480201807762e-03
       2051.35894534      -3.05311332e-16    -1.281909486676e-03     1.960000388031e-03     3.474942740569e-03
       2052.59918654      -9.15933995e-16    -1.241034029870e-03     2.020405448414e-03     3.470860787240e-03
       2053.83942774       2.26207941e-15    -1.200046444037e-03     2.079501652099e-03     3.467983248083e-03
       2055.07966894      -2.16493490e-15    -1.159408300383e-03     2.136467865425e-03     3.466290586824e-03
       2056.31991014       2.77555756e-16    -1.119644991539e-03     2.190410990365e-03     3.465820881127e-03
       2057.56015134       2.38697950e-15    -1.081309336681e-03     2.240524310229e-03     3.466646417508e-03
       2058.80039254      -1.29063427e-15    -1.044862500194e-03     2.286180602450e-03     3.468736724355e-03
       2060.04063374       1.11022302e-16    -1.010862441781e-03     2.326658822565e-03     3.472005837840e-03
       2061.28087494       9.29811783e-16    -9.797929433941e-04     2.361331840095e-03     3.476404849250e-03
       2062.52111614      -8.18789481e-16    -9.520426856771e-04     2.389787370594e-03     3.481921756587e-03
       2063.76135734      -1.27675648e-15    -9.279911623232e-04     2.411688135656e-03     3.488516533644e-03
       2065.00159854       1.13797860e-15    -9.079422676117e-04     2.426792581422e-03     3.496031282753e-03
       2066.24183974      -1.17961196e-15    -8.921993741371e-04     2.434926185071e-03     3.504312871955e-03
       2067.48208094       3.69149156e-15    -8.809120057451e-04     2.436081916534e-03     3.513277901786e-03
       2068.72232214      -2.49800181e-15    -8.742128598809e-04     2.430257894595e-03     3.522849191587e-03
       2069.96256334      -2.12330153e-15    -8.721632681894e-04     2.417558757061e-03     3.532955929227e-03
       2071.20280454      -1.77635684e-15    -8.748273905450e-04     2.398226048616e-03     3.543470416497e-03
       2072.44304574       1.83186799e-15    -8.821695811427e-04     2.372579579497e-03     3.554202429314e-03
       2073.68328694      -1.23512311e-15    -8.939673214812e-04     2.341084145851e-03     3.564988524363e-03
       2074.92352814       7.77156117e-16    -9.099618130701e-04     2.304278599095e-03     3.575725652552e-03
       2076.16376935       1.38777878e-17    -9.299550047279e-04     2.262650535235e-03     3.586261032459e-03
       2077.40401055      -6.10622664e-16    -9.537263934947e-04     2.216789809293e-03     3.596424433610e-03
       2078.64425175       1.15185639e-15    -9.810372137653e-04     2.167376993261e-03     3.606112399231e-03
       2079.88449295       5.68989300e-16    -1.011543087580e-03     2.115160876316e-03     3.615192413785e-03
       2081.12473415       2.77555756e-17    -1.044780948468e-03     2.060798323680e-03     3.623502958326e-03
       2082.36497535       1.66533454e-16    -1.080196758027e-03     2.005116382196e-03     3.630891476480e-03
       2083.60521655      -2.23432384e-15    -1.117286404867e-03     1.948951089876e-03     3.637209069416e-03
       2084.84545775      -1.94289029e-15    -1.155601906236e-03     1.892954639334e-03     3.642339937905e-03
       2086.08569895      -3.91353616e-15    -1.194683854223e-03     1.837803660163e-03     3.646265726012e-03
       2087.32594015      -1.08246745e-15    -1.234041193041e-03     1.784247828836e-03     3.648995119465e-03
       2088.56618135       6.52256027e-16    -1.273120968898e-03     1.733121351119e-03     3.650439529775e-03
       2089.80642255       7.07767178e-16    -1.311395405340e-03     1.685101566379e-03     3.650492379382e-03
       2091.04666375      -1.36002321e-15    -1.348175443003e-03     1.640951068525e-03     3.649088820483e-03
       2092.28690495      -2.55351296e-15    -1.382885409153e-03     1.601269421859e-03     3.646206657783e-03
       2093.52714615       3.89965837e-15    -1.415045874925e-03     1.566570309015e-03     3.641890808990e-03
       2094.76738735      -6.80011603e-16    -1.444201769933e-03     1.537438997464e-03     3.636232040414e-03
       2096.00762855       3.60822483e-16    -1.469931935657e-03     1.514252384249e-03     3.629370364619e-03
       2097.24786975      -1.69309011e-15    -1.491840637438e-03     1.497323076830e-03     3.621412516533e-03
       2098.48811095      -4.95437025e-15    -1.509547353359e-03     1.486982068279e-03     3.612458903204e-03
       2099.72835215      -1.01307851e-15    -1.522777832985e-03     1.483433077684e-03     3.602595880130e-03
       2100.96859335      -1.23512311e-15    -1.531290222367e-03     1.486611444988e-03     3.591880361827e-03
       2102.20883455       1.52655666e-15    -1.534983059211e-03     1.496364913893e-03     3.580416202320e-03
       2103.44907575      -1.36002321e-15    -1.533827031806e-03     1.512666063793e-03     3.568444900191e-03
       2104.68931695      -2.49800181e-16    -1.527869341483e-03     1.535377576162e-03     3.556219839077e-03
       2105.92955815       1.51267887e-15    -1.517163671158e-03     1.564226647218e-03     3.543926469864e-03
       2107.16979935      -1.40165657e-15    -1.501822431006e-03     1.598848972422e-03     3.531786903557e-03
       2108.41004055      -8.32667268e-17    -1.482050252182e-03     1.638718183433e-03     3.520045069757e-03
       2109.65028175       4.99600361e-16    -1.458115614977e-03     1.683215210905e-03     3.508863748582e-03
       2110.89052295       1.24900090e-16    -1.430305260635e-03     1.731739734734e-03     3.498400394483e-03
       2112.13076415      -1.69309011e-15    -1.398953045788e-03     1.783696070211e-03     3.488822794889e-03
       2113.37100536       1.72084569e-15    -1.364590683446e-03     1.838300558280e-03     3.480264973248e-03
       2114.61124656      -1.55431223e-15    -1.327769185290e-03     1.894815930254e-03     3.472848031685e-03
       2115.85148776      -3.38618023e-15    -1.288988758285e-03     1.952342129576e-03     3.466736068736e-03
       2117.09172896       7.21644966e-16    -1.248773643341e-03     2.009822065782e-03     3.462046414420e-03
       2118.33197016       1.38777878e-15    -1.207588012111e-03     2.066460397256e-03     3.458830818553e-03
       2119.57221136      -9.43689571e-16    -1.166074080674e-03     2.121408076307e-03     3.457193685306e-03
       2120.81245256       8.04911693e-16    -1.124922756246e-03     2.173747915252e-03     3.457258807317e-03
       2122.05269376      -2.63677968e-15    -1.084883473839e-03     2.222452506431e-03     3.459072486766e-03
       2123.29293496       1.08246745e-15    -1.046518295101e-03     2.266657195073e-03     3.462557472523e-03
       2124.53317616      -1.83186799e-15    -1.010359792285e-03     2.305579389184e-03     3.467582421037e-03
       2125.77341736       4.30211422e-16    -9.769359366176e-04     2.338652765272e-03     3.473992872513e-03
       2127.01365856       9.99200722e-16    -9.469808148750e-04     2.365173679247e-03     3.481785150535e-03
       2128.25389976      -1.77635684e-15    -9.210536696411e-04     2.384563191168e-03     3.490911376627e-03
       2129.49414096       7.21644966e-16    -8.995521168549e-04     2.396385188116e-03     3.501249150947e-03
       2130.73438216       1.02695630e-15    -8.828445966711e-04     2.400347581546e-03     3.512548040395e-03
       2131.97462336      -1.05471187e-15    -8.712776344000e-04     2.396325878722e-03     3.524587671715e-03
       2133.21486456      -8.18789481e-16    -8.651514535218e-04     2.384301359661e-03     3.537078659486e-03
