# Time-correlated data for fix PP
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_str[4]*c_str[4] c_str[5]*c_str[5] c_str[6]*c_str[6]
100000 400
138 685 19864 1.93841 -35.3973 17.4187
139 690 19863 2.24483 -30.6925 18.5344
140 695 19862 6.92275 -25.7501 17.3569
141 700 19861 13.199 -23.3884 12.3094
142 705 19860 23.7003 -20.1841 5.34422
143 710 19859 39.6019 -16.9931 1.71795
144 715 19858 58.7182 -18.2042 2.20656
145 720 19857 76.8025 -22.005 2.44379
146 725 19856 86.5684 -21.9478 -0.665311
147 730 19855 84.4655 -13.8498 -5.33832
148 735 19854 72.42 0.950478 -8.89617
149 740 19853 52.4405 14.5231 -8.14651
150 745 19852 28.8325 18.0807 -2.27677
151 750 19851 6.64895 9.55776 5.15785
152 755 19850 -8.74437 -5.47142 12.4082
153 760 19849 -15.4665 -18.4896 18.9172
154 765 19848 -13.324 -24.61 24.5935
155 770 19847 -4.35213 -24.9674 30.2092
156 775 19846 3.36309 -22.9316 30.8706
157 780 19845 1.91262 -18.9713 23.248
158 785 19844 -7.30924 -13.147 12.8421
159 790 19843 -16.7896 -6.96482 11.5943
160 795 19842 -24.1992 -0.75365 22.7718
161 800 19841 -29.6093 7.61633 34.3762
162 805 19840 -33.8101 18.713 35.6287
163 810 19839 -38.8137 30.0022 25.7909
164 815 19838 -46.9867 39.0255 8.42024
165 820 19837 -58.6192 44.1108 -6.69891
166 825 19836 -71.8765 42.8658 -12.8676
167 830 19835 -85.5699 37.5104 -16.3382
168 835 19834 -98.5289 32.5148 -24.8898
169 840 19833 -106.124 27.2035 -36.7368
170 845 19832 -101.866 22.1657 -45.9365
171 850 19831 -87.8827 16.4335 -49.4152
172 855 19830 -70.4804 2.07851 -47.3943
173 860 19829 -50.5624 -20.4527 -40.7603
174 865 19828 -27.4299 -41.181 -28.6626
175 870 19827 -4.58307 -55.125 -12.6727
176 875 19826 15.2755 -65.7761 3.07538
177 880 19825 30.4922 -78.0978 19.1749
178 885 19824 38.3148 -92.2017 34.8354
179 890 19823 34.176 -101.597 43.7434
180 895 19822 17.4093 -103.712 41.6318
181 900 19821 -4.3545 -104.709 26.5121
182 905 19820 -19.4805 -107.631 3.08313
183 910 19819 -23.3728 -107.168 -20.3297
184 915 19818 -20.0139 -97.6158 -40.2945
185 920 19817 -12.0743 -77.938 -55.8425
186 925 19816 0.610632 -55.8014 -62.6991
187 930 19815 16.5937 -43.2125 -58.5695
188 935 19814 30.7389 -42.7219 -50.5157
189 940 19813 39.385 -45.6321 -44.5136
190 945 19812 43.5495 -46.7939 -38.1631
191 950 19811 47.8872 -47.0063 -27.516
192 955 19810 54.745 -47.012 -13.1611
193 960 19809 62.1959 -47.7266 -0.42225
194 965 19808 66.2249 -46.8769 6.44724
195 970 19807 63.7391 -41.1246 7.65733
196 975 19806 55.3865 -32.4379 4.16285
197 980 19805 44.5714 -25.8785 -3.20277
198 985 19804 34.1433 -22.3975 -10.4759
199 990 19803 23.3513 -18.409 -15.7062
200 995 19802 10.7312 -13.0602 -23.821
201 1000 19801 -1.79438 -8.30113 -39.9624
202 1005 19800 -11.0427 -1.98595 -59.5597
203 1010 19799 -18.423 7.21315 -70.683
204 1015 19798 -25.6568 15.9414 -66.6178
205 1020 19797 -30.2503 20.3237 -48.8441
206 1025 19796 -33.0973 19.7958 -25.6685
207 1030 19795 -32.8015 15.4089 -10.3455
208 1035 19794 -22.0981 7.44582 -9.72672
209 1040 19793 -0.604055 -1.66533 -17.4517
210 1045 19792 21.6817 -7.88094 -25.1598
211 1050 19791 38.0771 -12.3279 -31.8647
212 1055 19790 50.1596 -17.8016 -37.8608
213 1060 19789 59.4285 -23.7855 -40.9243
214 1065 19788 66.1212 -27.7345 -38.7914
215 1070 19787 68.6404 -26.447 -35.3891
216 1075 19786 66.1172 -21.5183 -36.0025
217 1080 19785 59.4381 -18.5652 -41.6571
218 1085 19784 52.1109 -16.3088 -51.5693
219 1090 19783 47.0378 -9.04514 -58.3634
220 1095 19782 42.7621 0.490612 -56.4486
221 1100 19781 37.9834 3.4311 -49.433
222 1105 19780 31.9395 -1.86089 -41.5156
223 1110 19779 26.5311 -12.0936 -30.2365
224 1115 19778 26.6794 -25.2173 -10.5001
225 1120 19777 35.5181 -38.8555 13.4873
226 1125 19776 49.4275 -49.4991 29.5768
227 1130 19775 58.742 -55.4496 31.1051
228 1135 19774 57.8609 -59.594 19.6329
229 1140 19773 49.346 -61.3641 2.05393
230 1145 19772 36.3143 -55.6033 -11.3082
231 1150 19771 17.2596 -42.6521 -17.1173
232 1155 19770 -6.59867 -29.5351 -19.7493
233 1160 19769 -28.2478 -21.3556 -23.4553
234 1165 19768 -43.1719 -18.3369 -27.5923
235 1170 19767 -52.6066 -16.2482 -31.2036
236 1175 19766 -54.0515 -13.3527 -35.7973
237 1180 19765 -41.3721 -13.203 -41.2346
238 1185 19764 -19.7255 -19.2058 -39.8053
239 1190 19763 -1.97631 -27.3809 -27.3149
240 1195 19762 5.19424 -32.3599 -12.6965
241 1200 19761 2.57761 -33.9014 1.34752
242 1205 19760 -3.16367 -35.4693 18.7397
243 1210 19759 -4.30524 -39.6372 31.3734
244 1215 19758 2.76999 -47.365 29.3685
245 1220 19757 15.3406 -59.5942 16.9811
246 1225 19756 27.8728 -73.9381 4.33752
247 1230 19755 31.4189 -86.1706 -6.0544
248 1235 19754 23.509 -90.1726 -12.4132
249 1240 19753 14.0004 -79.0529 -11.7006
250 1245 19752 13.3759 -54.9328 -8.13792
251 1250 19751 18.7663 -26.7838 -7.23123
252 1255 19750 18.4803 -2.54729 -5.73126
253 1260 19749 7.38554 13.3019 2.15412
254 1265 19748 -10.9011 22.6567 15.5254
255 1270 19747 -29.3007 30.0205 33.6731
256 1275 19746 -46.5494 38.4755 55.5345
257 1280 19745 -66.4928 46.9777 73.4961
258 1285 19744 -88.2566 50.0399 78.8779
259 1290 19743 -104.011 48.4871 66.8501
