command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls -n100000 -d0.01 -l1,3.11989090633,0.019698168313134447,3.1156143849299998,1.53930558,1.6414686699999996,3.09770396043,3.16447377043,1
./optimized_ls -n100000 -d0.01 -l2,1.71432138053,0.007396657897190938,1.71313959443,0.5878945799999999,1.1692913699999998,1.70257575843,1.73233937243,2
./optimized_ls -n100000 -d0.01 -l3,1.13653496903,0.012163820870924222,1.13653437593,0.06175788,1.1508482699999998,1.11326849343,1.15706442243,3
./optimized_ls -n100000 -d0.01 -l4,1.5447484584300002,0.03761832715501743,1.5346928429300002,0.45686447999999996,1.1321440699999998,1.50330465943,1.64193896043,4
./optimized_ls -n100000 -d0.01 -l5,1.54578772303,0.025416879780430997,1.54181071443,0.4551198800000001,1.13384527,1.5250370694300002,1.61440388843,5
./optimized_ls -n100000 -d0.01 -l6,1.13786138603,0.009832720316687712,1.1384755334299999,0.06110118,1.1253728699999999,1.12270632443,1.15599637743,6
./optimized_ls -n100000 -d0.01 -l7,1.14285163223,0.017327241302750186,1.13986162643,0.06146808,1.1764669699999997,1.12407317843,1.18250119643,7
./optimized_ls -n100000 -d0.01 -l8,1.13996572163,0.005118790562256784,1.14208401193,0.06326728000000001,1.1582875699999997,1.13052705943,1.14514714543,8
./optimized_ls -n100000 -d0.01 -l9,1.13865218283,0.009989092888159204,1.1356236979299998,0.061695480000000004,1.1554017699999999,1.12615393443,1.15938881743,9
./optimized_ls -n100000 -d0.01 -l10,1.52359870493,0.014777708433688004,1.52048825093,0.44618578,1.12409147,1.50370560843,1.54820299443,10
./optimized_ls -n100000 -d0.01 -l11,1.1330547658299999,0.005823584296903677,1.13271053593,0.06430738,1.15123947,1.12362079143,1.14343585143,11
./optimized_ls -n100000 -d0.01 -l12,1.1399540677300002,0.014202011782764118,1.13562936893,0.06697347999999999,1.1545083699999998,1.11883001143,1.16330317643,12
./optimized_ls -n100000 -d0.01 -l13,1.1437455141300001,0.004843033857476078,1.14262598493,0.06292088,1.1514586699999998,1.13803296343,1.15221306143,13
./optimized_ls -n100000 -d0.01 -l14,1.14285840523,0.008525364289796913,1.14383748393,0.06061788,1.1409082699999997,1.12956891243,1.16232473343,14
./optimized_ls -n100000 -d0.01 -l15,1.13457561193,0.004434050043758081,1.13485821993,0.06394127999999999,1.14643757,1.12778776543,1.14033467543,15
./optimized_ls -n100000 -d0.01 -l16,1.13234940673,0.0080924717606149,1.1342861639300001,0.06318018,1.1165296699999998,1.11483891343,1.14324003343,16
./optimized_ls -n100000 -d0.01 -l17,1.13985583943,0.010223916373056396,1.14010391693,0.06601357999999999,1.12770427,1.12734072543,1.15776683443,17
./optimized_ls -n100000 -d0.01 -l18,1.13777092533,0.010868397101751184,1.1365704974300002,0.06395737999999998,1.13198977,1.12376734143,1.16303339243,18
./optimized_ls -n100000 -d0.01 -l19,1.13465079043,0.009005887819107068,1.13839071693,0.06258238,1.1514073699999998,1.11354781243,1.14337908143,19
./optimized_ls -n100000 -d0.01 -l20,1.54260333713,0.01841131478641337,1.54115737893,0.44970748,1.1309077699999999,1.5091000294299999,1.57634300743,20
./optimized_ls -n100000 -d0.01 -l21,1.1359375295299998,0.0093088445669158,1.13760771893,0.06451018,1.13707867,1.12306161043,1.15104418643,21
./optimized_ls -n100000 -d0.01 -l22,1.13662894713,0.009009970268014516,1.13951562743,0.06294728,1.11174667,1.12122542443,1.15292271243,22
./optimized_ls -n100000 -d0.01 -l23,1.13290673103,0.007458037947218375,1.13368414843,0.06515017999999999,1.13881297,1.11603799343,1.14108315443,23
./optimized_ls -n100000 -d0.01 -l24,1.13528460543,0.01310378436587683,1.13358297093,0.06044368,1.13188747,1.11767498643,1.15609394243,24
./optimized_ls -n100000 -d0.01 -l25,1.66508668363,0.008700898895118781,1.66710235393,0.5484544800000001,1.17543107,1.64688598843,1.67696255543,25
./optimized_ls -n100000 -d0.01 -l26,1.1401132064300001,0.007835764857286744,1.13667238893,0.06398788000000001,1.14367907,1.13428534643,1.16085056743,26
./optimized_ls -n100000 -d0.01 -l27,1.1344590047299998,0.005282874863534689,1.13420987993,0.05904427999999999,1.1431701699999999,1.12756764343,1.14307366543,27
./optimized_ls -n100000 -d0.01 -l28,1.13778895153,0.0047475648511749406,1.1377471159299999,0.06199597999999999,1.1451389699999999,1.1295429024299999,1.14759731343,28
./optimized_ls -n100000 -d0.01 -l29,1.1399303348299998,0.01174420426089794,1.1418331129300001,0.06402648,1.1340874699999999,1.12284829743,1.16079503843,29
./optimized_ls -n100000 -d0.01 -l30,1.14370119453,0.01568259082962148,1.14241368493,0.06406537999999999,1.1382101699999998,1.11763608443,1.16736175643,30
./optimized_ls -n100000 -d0.01 -l31,1.13805760583,0.0071976121393045435,1.1388509194299998,0.06700747999999998,1.1564436699999998,1.12480371343,1.14639062943,31
./optimized_ls -n100000 -d0.01 -l32,1.13781852293,0.006327610673561191,1.1369767829300002,0.06361607999999999,1.1364678699999997,1.12881800043,1.14847302643,32
