command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls_1d -n200 -d0.6 -l1,6.2043848148250005,0.01853561778854098,6.205793490425,5.0600738849999995,1.2016279199999997,6.176287915425,6.236414812425,1
./optimized_ls_1d -n200 -d0.6 -l2,3.8515859788249998,0.013794451228585934,3.8496155269249996,2.7091966849999993,1.19621702,3.833636349425,3.881574378425,2
./optimized_ls_1d -n200 -d0.6 -l3,1.268740427825,0.006279998984386657,1.268902877425,0.12457798499999999,1.19517452,1.256416381425,1.279914251425,3
./optimized_ls_1d -n200 -d0.6 -l4,3.3601220710250006,0.01018702848169476,3.358410648925,2.1963592849999998,1.2082517199999998,3.346467263425,3.375996722425,4
./optimized_ls_1d -n200 -d0.6 -l5,3.532194307425,0.009544496399421964,3.532274868425,2.4111392849999995,1.1753815199999997,3.520260855425,3.554662345425,5
./optimized_ls_1d -n200 -d0.6 -l6,1.2715334514249998,0.008458674649299029,1.271074109925,0.133313585,1.21012542,1.257949633425,1.290010824425,6
./optimized_ls_1d -n200 -d0.6 -l7,1.269158259325,0.007480370735928633,1.268830094925,0.12836818499999997,1.2128121199999997,1.257171246425,1.2812900114249999,7
./optimized_ls_1d -n200 -d0.6 -l8,4.121111064325,0.011823635763567627,4.118860684925,2.9882718849999996,1.19071502,4.107204304425,4.144380872425001,8
./optimized_ls_1d -n200 -d0.6 -l9,1.267351417725,0.007514279952721681,1.267351983425,0.13442728499999998,1.1828917200000002,1.250572126425,1.277832363425,9
./optimized_ls_1d -n200 -d0.6 -l10,4.248796091525,0.013696722040115057,4.248003419925,3.1021009849999994,1.2039425200000002,4.230236794425,4.273614498425,10
./optimized_ls_1d -n200 -d0.6 -l11,1.2660910267249998,0.009715691462385883,1.2638688819250001,0.13048698500000003,1.19895952,1.251519916425,1.288063786425,11
./optimized_ls_1d -n200 -d0.6 -l12,1.274592428325,0.010881273470867227,1.270195529425,0.13543698499999998,1.1953349199999999,1.260895455425,1.297293367425,12
./optimized_ls_1d -n200 -d0.6 -l13,1.271439118825,0.008783141967377351,1.2716136864249998,0.13464458499999998,1.19965482,1.255852886425,1.284499174425,13
./optimized_ls_1d -n200 -d0.6 -l14,1.2726209832250002,0.010057523436830662,1.2682714644250002,0.133889585,1.2210965200000001,1.2617204284249999,1.288404582425,14
./optimized_ls_1d -n200 -d0.6 -l15,1.271511008025,0.00852644585731629,1.268133932425,0.13686028499999997,1.2003658199999998,1.263328111425,1.285175402425,15
./optimized_ls_1d -n200 -d0.6 -l16,4.342861549325001,0.01538067403916014,4.344953883925001,3.2079069849999997,1.2190858199999999,4.323084276425001,4.367921149425,16
./optimized_ls_1d -n200 -d0.6 -l17,1.267069662825,0.007231280054665294,1.263013586425,0.13125628499999997,1.20461142,1.261600736425,1.282701804425,17
./optimized_ls_1d -n200 -d0.6 -l18,1.2696198908249998,0.008112345270358062,1.271345798425,0.130316685,1.2034914200000002,1.254745869425,1.2774632024249999,18
./optimized_ls_1d -n200 -d0.6 -l19,1.269725190025,0.008818111469639933,1.2699180879249998,0.129822085,1.1946306199999999,1.256986303425,1.289652062425,19
./optimized_ls_1d -n200 -d0.6 -l20,4.353085851925,0.007847604048707206,4.351575195425,3.2026369849999994,1.1894487200000001,4.342111369425,4.370002230425,20
./optimized_ls_1d -n200 -d0.6 -l21,1.269871804225,0.013386301414196534,1.269781509425,0.124502285,1.1873870199999998,1.245449539425,1.296358908425,21
./optimized_ls_1d -n200 -d0.6 -l22,1.272964459225,0.008051230722513195,1.272586595925,0.13348068500000002,1.18501092,1.262012887425,1.291479582425,22
./optimized_ls_1d -n200 -d0.6 -l23,1.2675171487249997,0.007349336203189937,1.270207279925,0.13146638500000002,1.19509162,1.253056144425,1.274570474425,23
./optimized_ls_1d -n200 -d0.6 -l24,1.2638507292249999,0.008423009031393619,1.263606361925,0.132203385,1.2117747199999997,1.249317221425,1.277365348425,24
./optimized_ls_1d -n200 -d0.6 -l25,4.433387511725,0.013183603037496602,4.435715982425,3.2874581849999998,1.19521452,4.414668225425,4.454580747425,25
./optimized_ls_1d -n200 -d0.6 -l26,1.263569163125,0.005155538118143447,1.264090982425,0.132313085,1.2006192199999999,1.254904289425,1.269618582425,26
./optimized_ls_1d -n200 -d0.6 -l27,1.2628027659249998,0.0052826183506300365,1.264289271425,0.131816585,1.20966102,1.252559616425,1.269295337425,27
./optimized_ls_1d -n200 -d0.6 -l28,1.263175612325,0.007132138692102983,1.2620448189249998,0.131117285,1.17656322,1.2553975634249999,1.279814423425,28
./optimized_ls_1d -n200 -d0.6 -l29,1.262876026125,0.00495335489628747,1.262632839925,0.13298708499999998,1.1833717199999998,1.253661770425,1.268795927425,29
./optimized_ls_1d -n200 -d0.6 -l30,1.2618299717249999,0.0038122930487224436,1.262639568925,0.134748785,1.19219502,1.253931827425,1.266687167425,30
./optimized_ls_1d -n200 -d0.6 -l31,1.263113052025,0.0056215442477636855,1.2625273849249998,0.13090448500000001,1.19601932,1.256399304425,1.273797261425,31
./optimized_ls_1d -n200 -d0.6 -l32,4.477421585625001,0.010873129176943852,4.477308781925,3.3339117849999993,1.2144416199999999,4.464885148425,4.498170681425,32
