command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls -n200 -d0.6 -l1,6.20382734987,0.01511617347550997,6.20509592957,5.0488546649999995,1.2034855050000002,6.18519142807,6.23024946907,1
./optimized_ls -n200 -d0.6 -l2,2.51630689437,0.01704656956566773,2.5151093650700003,1.380336565,1.185476605,2.4871530600700003,2.53753843307,2
./optimized_ls -n200 -d0.6 -l3,1.2702873476700003,0.005237500058414764,1.26775073207,0.136359265,1.194913805,1.26526806607,1.27845682907,3
./optimized_ls -n200 -d0.6 -l4,1.76179529757,0.01212418635875603,1.75985729557,0.6315171649999998,1.186658605,1.74302068707,1.78000190307,4
./optimized_ls -n200 -d0.6 -l5,1.26872793997,0.012052645227188885,1.26717010957,0.13442126499999998,1.220672205,1.25031737507,1.2901308630700001,5
./optimized_ls -n200 -d0.6 -l6,1.27214713057,0.006197085017512292,1.2704752785700002,0.13484236499999996,1.194696705,1.26357140607,1.28125850307,6
./optimized_ls -n200 -d0.6 -l7,1.2708752435700001,0.006878915080289516,1.27081073857,0.133110065,1.187837805,1.26206638807,1.28213070607,7
./optimized_ls -n200 -d0.6 -l8,1.6898117162700004,0.008534307106625498,1.6897438620700003,0.532992665,1.246352905,1.6766129210700003,1.7022419920700003,8
./optimized_ls -n200 -d0.6 -l9,1.27243435307,0.006686206939923631,1.2699255315700002,0.135721165,1.213892505,1.26379735907,1.28433367907,9
./optimized_ls -n200 -d0.6 -l10,1.2715452930700002,0.010356915904547712,1.26746762357,0.132711365,1.1973923050000002,1.25900786807,1.29049537407,10
./optimized_ls -n200 -d0.6 -l11,1.2652648207700001,0.008205479775297647,1.26719915607,0.132585865,1.1781179050000001,1.2516739030700001,1.27524342507,11
./optimized_ls -n200 -d0.6 -l12,1.26641963747,0.0065255589543027235,1.26686189007,0.13257366499999998,1.1874159050000002,1.2540026910700002,1.27517082607,12
./optimized_ls -n200 -d0.6 -l13,1.2671368741700002,0.008433949862143223,1.2701501355700002,0.13178846500000002,1.2120120050000003,1.2464069850700001,1.27559821807,13
./optimized_ls -n200 -d0.6 -l14,1.2701869127700003,0.009211409822106553,1.26666337307,0.129236565,1.185300805,1.25783152007,1.28424251107,14
./optimized_ls -n200 -d0.6 -l15,1.2727868604700001,0.010790172663943538,1.27332441257,0.137069565,1.207593905,1.25628931207,1.28790722407,15
./optimized_ls -n200 -d0.6 -l16,1.80821269777,0.009573838698053333,1.8083198120700001,0.669446965,1.1936994049999998,1.7937935450700002,1.82402145507,16
./optimized_ls -n200 -d0.6 -l17,1.27494361997,0.010697557036327479,1.2749584870700001,0.135332265,1.1968801050000002,1.25644300107,1.29330022107,17
./optimized_ls -n200 -d0.6 -l18,1.2723816876699998,0.009802599134965678,1.2720764715700001,0.13155446499999998,1.205629005,1.2562778250700002,1.2905012980700001,18
./optimized_ls -n200 -d0.6 -l19,1.27316300807,0.0068474959965395136,1.27293900307,0.132407365,1.1979642050000001,1.26286452407,1.28416124607,19
./optimized_ls -n200 -d0.6 -l20,1.27312711967,0.007071343154701871,1.27266056557,0.132099165,1.2094934050000001,1.26115176407,1.2864159830700002,20
./optimized_ls -n200 -d0.6 -l21,1.2791403848700003,0.009868000467807201,1.28169364507,0.13676336500000003,1.206287605,1.25676681907,1.29142417007,21
./optimized_ls -n200 -d0.6 -l22,1.27521179927,0.010729386495093913,1.2779420885700001,0.135144565,1.2126603050000002,1.25683742707,1.29398263507,22
./optimized_ls -n200 -d0.6 -l23,1.27815851947,0.011489725068124415,1.27723839657,0.134211565,1.213176305,1.26547837107,1.3008889670700001,23
./optimized_ls -n200 -d0.6 -l24,1.28132287677,0.016732373329077427,1.27613553557,0.130300965,1.232394905,1.26547644007,1.3200976820700001,24
./optimized_ls -n200 -d0.6 -l25,1.2736636514700002,0.008885449483452415,1.27529185757,0.13353956500000003,1.208748705,1.25889089007,1.2895447450700002,25
./optimized_ls -n200 -d0.6 -l26,1.2757358723700003,0.012881332938203887,1.27755003857,0.130693665,1.2150788050000003,1.2581840130700002,1.30081315407,26
./optimized_ls -n200 -d0.6 -l27,1.2750876663699997,0.009159294889266041,1.27584267707,0.132571165,1.2216917050000002,1.2561465060700001,1.29005208307,27
./optimized_ls -n200 -d0.6 -l28,1.27818616897,0.009304441123255014,1.27679725057,0.134627565,1.2107801050000002,1.26564542607,1.2908188440700001,28
./optimized_ls -n200 -d0.6 -l29,1.2777730598700001,0.008411365541844979,1.27482984257,0.131373965,1.2030716049999999,1.26945906107,1.29522873707,29
./optimized_ls -n200 -d0.6 -l30,1.27262879497,0.010532341123172789,1.2726976470700002,0.13498666500000003,1.2074760049999997,1.2552584150700001,1.2964079910700002,30
./optimized_ls -n200 -d0.6 -l31,1.26955274517,0.009630050711881525,1.2691401665700002,0.13308256499999999,1.1804447050000002,1.25527813307,1.2888849820700001,31
./optimized_ls -n200 -d0.6 -l32,2.0997343862699998,0.018992254907601504,2.1021846655700003,0.9478983649999998,1.1787483049999998,2.0734797130700002,2.14136610007,32
