command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls_1d -n200 -d0.6 -l1,5.021793322510001,0.009686412008784989,5.022872799610001,3.88050738,1.19268199,5.00714374161,5.03408578561,1
./optimized_ls_1d -n200 -d0.6 -l2,3.21455842441,0.015568605273408946,3.2152349986099997,2.0844737800000006,1.20197779,3.1961763096099998,3.24540350861,2
./optimized_ls_1d -n200 -d0.6 -l3,1.24576336031,0.014688393347974735,1.24325584811,0.11324388,1.20175729,1.2316910916100001,1.2848798886100001,3
./optimized_ls_1d -n200 -d0.6 -l4,3.36157914521,0.011232042972672789,3.35655244561,2.23548888,1.19627539,3.3508752446099996,3.38453206961,4
./optimized_ls_1d -n200 -d0.6 -l5,3.40774147561,0.014765114070097066,3.4005525096099998,2.27758398,1.1781724899999997,3.38842304261,3.43070107361,5
./optimized_ls_1d -n200 -d0.6 -l6,1.24229372381,0.013298498226308516,1.23911245561,0.11276568000000001,1.21711529,1.22916903661,1.27603610861,6
./optimized_ls_1d -n200 -d0.6 -l7,1.2366012879100001,0.008596573260117266,1.2346439081100002,0.11119638000000001,1.2044659899999999,1.2276657826100001,1.25901909461,7
./optimized_ls_1d -n200 -d0.6 -l8,3.6941700419099996,0.011952039622216146,3.69548919111,2.56795698,1.1867625899999998,3.67369688261,3.70705870261,8
./optimized_ls_1d -n200 -d0.6 -l9,1.2428816288099998,0.010311063003338394,1.24281226211,0.11092318000000001,1.2029150899999999,1.22894616261,1.26232109361,9
./optimized_ls_1d -n200 -d0.6 -l10,3.81906864341,0.012105817436174674,3.8189107591099996,2.6928312800000005,1.18740699,3.79708501861,3.83627294661,10
./optimized_ls_1d -n200 -d0.6 -l11,1.2415364692100002,0.008145246436489636,1.2410291721100002,0.11272248,1.18711919,1.2297917226100001,1.2555094236100002,11
./optimized_ls_1d -n200 -d0.6 -l12,1.24077891831,0.007228591348109347,1.2401695616100001,0.11148918000000001,1.1960931899999998,1.23196877861,1.2533227796100002,12
./optimized_ls_1d -n200 -d0.6 -l13,1.2358092077100002,0.006590497973846103,1.2376891036100002,0.11366538,1.1857484900000002,1.22024136061,1.2422677156100002,13
./optimized_ls_1d -n200 -d0.6 -l14,1.24059152661,0.016697863270924682,1.2371514296100001,0.10974798,1.1759357899999998,1.2235727146100002,1.28474943861,14
./optimized_ls_1d -n200 -d0.6 -l15,1.24586592531,0.012964773127712501,1.2420910786100001,0.11083077999999999,1.1802999899999997,1.2315234376100002,1.28005883961,15
./optimized_ls_1d -n200 -d0.6 -l16,3.97987492141,0.015445799058251062,3.9771744076099997,2.87356518,1.1618153899999997,3.95620127061,4.00363661161,16
./optimized_ls_1d -n200 -d0.6 -l17,1.24190508071,0.008010781235474702,1.2405947666100001,0.12047597999999997,1.1745226899999999,1.2302003106100001,1.2583466086100001,17
./optimized_ls_1d -n200 -d0.6 -l18,1.23102591031,0.006600049454502611,1.2300826421100002,0.11561678,1.16877699,1.22268700461,1.24106463361,18
./optimized_ls_1d -n200 -d0.6 -l19,1.23650174301,0.008632570865367485,1.2363230881100002,0.11413848,1.1847866899999997,1.2251661366100002,1.2554627816100001,19
./optimized_ls_1d -n200 -d0.6 -l20,4.00168887511,0.012725800405306409,4.0000790976100005,2.88980478,1.1640864899999999,3.9812974666099996,4.0221291066100004,20
./optimized_ls_1d -n200 -d0.6 -l21,1.24013471151,0.007734777512263687,1.24059689561,0.11671828,1.18701129,1.2273207456100002,1.25359355561,21
./optimized_ls_1d -n200 -d0.6 -l22,1.23877478521,0.008723574280464634,1.23857587511,0.11678667999999999,1.19924629,1.22656867861,1.2593349986100002,22
./optimized_ls_1d -n200 -d0.6 -l23,1.23604228381,0.006766475801654833,1.23710598011,0.11885618,1.1883726899999998,1.2232892266100002,1.24438412461,23
./optimized_ls_1d -n200 -d0.6 -l24,1.23768037461,0.010954954244071667,1.23792864011,0.11945447999999999,1.19438889,1.2154373816100001,1.25385679461,24
./optimized_ls_1d -n200 -d0.6 -l25,4.09900578271,0.014915479094112392,4.0983394221100005,2.99278188,1.16170319,4.07697522861,4.12142764961,25
./optimized_ls_1d -n200 -d0.6 -l26,1.23735999791,0.009144327558206381,1.23515489061,0.11843588000000001,1.1731157899999998,1.2236237086100001,1.25170265661,26
./optimized_ls_1d -n200 -d0.6 -l27,1.23410487911,0.006705803106529904,1.23272292211,0.11645528000000001,1.1980930899999997,1.2243697686100001,1.24517173161,27
./optimized_ls_1d -n200 -d0.6 -l28,1.2435959164100001,0.009651979378738679,1.2428046776100001,0.11737087999999998,1.1946251899999998,1.2317171496100001,1.26289826161,28
./optimized_ls_1d -n200 -d0.6 -l29,1.24219444511,0.012518583284341243,1.23628059811,0.11843378,1.19506399,1.23358814961,1.26797502561,29
./optimized_ls_1d -n200 -d0.6 -l30,1.23526565081,0.007306569337365624,1.2382108766100002,0.11813938000000002,1.1718515899999997,1.22379758261,1.24293262861,30
./optimized_ls_1d -n200 -d0.6 -l31,1.2360927973100002,0.0046171422731158965,1.2363383811100002,0.11947477999999997,1.1763886899999998,1.22994704961,1.24302618261,31
./optimized_ls_1d -n200 -d0.6 -l32,4.20688791021,0.016945621216919164,4.20459155611,3.07348708,1.1784226899999999,4.18332916661,4.24838169861,32
