command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls -n1000 -d0.02 -l1,186.22567206897668,0.026929631908270173,186.21195594931,183.91714971333332,1.930758525,186.20836184131002,186.25669841631,1
./optimized_ls -n1000 -d0.02 -l2,89.83226488630999,0.007245189267847519,89.83522898531,87.81232304666666,1.891917858333333,89.82400763531,89.83755803831,2
./optimized_ls -n1000 -d0.02 -l3,2.116540855643333,0.016598789194654722,2.12023183331,0.6185430466666667,1.5629698583333331,2.09840726331,2.13098347031,3
./optimized_ls -n1000 -d0.02 -l4,51.92421387531001,0.15262708408575923,52.01207128531,50.06487404666667,1.7775298583333334,51.74797555831,52.01259478231,4
./optimized_ls -n1000 -d0.02 -l5,44.14422029531,0.06230111419933984,44.175111702310005,42.48502904666667,1.6376051916666665,44.07250986431,44.18503931931,5
./optimized_ls -n1000 -d0.02 -l6,2.1027578509766665,0.014499053649366028,2.09966936231,0.61686538,1.608789525,2.09005188531,2.1185523053099997,6
./optimized_ls -n1000 -d0.02 -l7,2.1054837206433334,0.002393594813575358,2.10460495831,0.6228597133333333,1.5434561916666665,2.10365371231,2.10819249131,7
./optimized_ls -n1000 -d0.02 -l8,33.74583192297667,0.2243144912314185,33.620293125310006,32.06194904666666,1.671057525,33.61239480131,34.00480784231,8
./optimized_ls -n1000 -d0.02 -l9,2.1010670249766665,0.006122747122060748,2.0999449923099998,0.6327380466666667,1.5661135249999998,2.09558289331,2.10767318931,9
./optimized_ls -n1000 -d0.02 -l10,32.111031885310005,0.01596997016283743,32.11898044731,30.58078271333333,1.533415858333333,32.09264735731,32.12146785131,10
./optimized_ls -n1000 -d0.02 -l11,2.117513339643333,0.019419592753072645,2.12130155531,0.6278827133333333,1.5669641916666663,2.09647876031,2.13475970331,11
./optimized_ls -n1000 -d0.02 -l12,2.1047665026433333,0.010681245130001278,2.10655593231,0.6055220466666666,1.5327121916666666,2.09330355931,2.11444001631,12
./optimized_ls -n1000 -d0.02 -l13,2.1128952096433333,0.015989454299320215,2.11305025531,0.63099738,1.558747525,2.09682879631,2.12880657731,13
./optimized_ls -n1000 -d0.02 -l14,2.0925125399766666,0.007972413971108159,2.09497053031,0.6219547133333333,1.5849445249999998,2.08360057031,2.09896651931,14
./optimized_ls -n1000 -d0.02 -l15,2.1016850209766664,0.01341787003671274,2.1057805793099997,0.6242787133333333,1.5970038583333332,2.08669664531,2.11257783831,15
./optimized_ls -n1000 -d0.02 -l16,28.90999018231,0.007120889118406411,28.90655251831,27.407769713333334,1.5161968583333334,28.90524032731,28.91817770131,16
./optimized_ls -n1000 -d0.02 -l17,2.08128356431,0.022560225330671195,2.0881255953099997,0.6179243799999999,1.5621431916666666,2.05609436731,2.09963073031,17
./optimized_ls -n1000 -d0.02 -l18,2.0845623459766665,0.003023874182490573,2.0852520543099997,0.6028287133333333,1.5489068583333332,2.0812531973099997,2.08718178631,18
./optimized_ls -n1000 -d0.02 -l19,2.0925507076433334,0.01574313153215293,2.08521764131,0.6197357133333332,1.5366768583333332,2.08181183231,2.1106226493099998,19
./optimized_ls -n1000 -d0.02 -l20,29.353973490976667,0.045273690398816374,29.37125695031,27.82463271333333,1.5286935249999998,29.302603918309998,29.388059604309998,20
./optimized_ls -n1000 -d0.02 -l21,2.098646233643333,0.0015728086761161192,2.09794354131,0.6237983799999999,1.537355858333333,2.09754727131,2.1004478883099997,21
./optimized_ls -n1000 -d0.02 -l22,2.12598459631,0.016356167083075978,2.1201631813099997,0.6224460466666666,1.6063461916666666,2.11333549831,2.14445510931,22
./optimized_ls -n1000 -d0.02 -l23,2.104701432643333,0.007677535977204675,2.1035667663099997,0.62902438,1.540655525,2.09765437431,2.1128831573099998,23
./optimized_ls -n1000 -d0.02 -l24,2.1107749486433334,0.01082876342839589,2.10632678631,0.6178607133333333,1.5393065249999998,2.10287862931,2.12311943031,24
./optimized_ls -n1000 -d0.02 -l25,30.625957217976666,0.007260502567786336,30.62337103231,29.08879271333333,1.5758218583333334,30.62034389131,30.63415673031,25
./optimized_ls -n1000 -d0.02 -l26,2.0956244449766666,0.005459157398685204,2.09501393431,0.6134700466666666,1.5611511916666665,2.09049620631,2.1013631943099997,26
./optimized_ls -n1000 -d0.02 -l27,2.101620336976667,0.005178910198369874,2.1032900093099998,0.6386900466666666,1.5664098583333332,2.09581254831,2.10575845331,27
./optimized_ls -n1000 -d0.02 -l28,2.1029831916433337,0.03599548519165283,2.1098203023099997,0.6045957133333334,1.577264858333333,2.06405949031,2.13506978231,28
./optimized_ls -n1000 -d0.02 -l29,2.0900971979766667,0.004066914059536708,2.09110333931,0.6175400466666666,1.5407251916666667,2.08562165331,2.09356660131,29
./optimized_ls -n1000 -d0.02 -l30,2.1210901123099997,0.014931384611313608,2.11258712931,0.61824338,1.574462858333333,2.11235235031,2.1383308573099997,30
./optimized_ls -n1000 -d0.02 -l31,2.0913255353099998,0.0049898714662058715,2.0909439983099998,0.61942538,1.606217525,2.08653738431,2.09649522331,31
./optimized_ls -n1000 -d0.02 -l32,2.09951057831,0.016441656037260104,2.09504667131,0.6241377133333333,1.5686265249999998,2.08576181831,2.11772324531,32
