# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_hflux[1]*c_hflux[1] c_hflux[2]*c_hflux[2] c_hflux[3]*c_hflux[3]
100000 400
131 650 19871 0.236853 0.0405448 0.0586803
132 655 19870 0.216957 0.0595046 0.0813665
133 660 19869 0.178515 0.0647758 0.0652334
134 665 19868 0.140108 0.0476396 -0.00420055
135 670 19867 0.110566 0.0180819 -0.09491
136 675 19866 0.105689 -0.00887019 -0.172635
137 680 19865 0.116166 -0.017245 -0.214728
138 685 19864 0.115449 0.000138948 -0.209364
139 690 19863 0.123344 0.0366116 -0.175599
140 695 19862 0.168796 0.0796226 -0.137352
141 700 19861 0.211158 0.131261 -0.102525
142 705 19860 0.208855 0.167647 -0.0746203
143 710 19859 0.184509 0.151534 -0.0413392
144 715 19858 0.176158 0.107883 -0.00538104
145 720 19857 0.184466 0.0919033 0.00747132
146 725 19856 0.200522 0.114902 -0.0254217
147 730 19855 0.218677 0.144279 -0.0961334
148 735 19854 0.218223 0.154186 -0.157301
149 740 19853 0.189941 0.139854 -0.173133
150 745 19852 0.160799 0.105736 -0.149246
151 750 19851 0.131762 0.0636301 -0.104694
152 755 19850 0.107435 0.039692 -0.0819572
153 760 19849 0.114663 0.0372609 -0.124506
154 765 19848 0.171307 0.0423652 -0.214753
155 770 19847 0.237788 0.0467984 -0.309548
156 775 19846 0.232865 0.0418785 -0.400081
157 780 19845 0.147438 0.0248132 -0.473865
158 785 19844 0.0558637 0.000867781 -0.482748
159 790 19843 0.00348471 -0.0280811 -0.405669
160 795 19842 -0.0205564 -0.066855 -0.287088
161 800 19841 -0.0395843 -0.10731 -0.198474
162 805 19840 -0.0582503 -0.132014 -0.158118
163 810 19839 -0.0607219 -0.132286 -0.141087
164 815 19838 -0.0409703 -0.141821 -0.150683
165 820 19837 -0.00795751 -0.169281 -0.191955
166 825 19836 0.0179347 -0.17496 -0.255244
167 830 19835 0.0341065 -0.146276 -0.313495
168 835 19834 0.0532472 -0.120638 -0.334953
169 840 19833 0.0696983 -0.128707 -0.340014
170 845 19832 0.0706244 -0.159166 -0.375538
171 850 19831 0.0551524 -0.183408 -0.445864
172 855 19830 0.0174617 -0.179422 -0.510859
173 860 19829 -0.0442675 -0.149295 -0.534305
174 865 19828 -0.105736 -0.122375 -0.503096
175 870 19827 -0.157874 -0.119589 -0.402601
176 875 19826 -0.190376 -0.12817 -0.245801
177 880 19825 -0.184128 -0.138575 -0.0886574
178 885 19824 -0.172156 -0.142407 -0.00221827
179 890 19823 -0.179316 -0.130752 -0.0158338
180 895 19822 -0.186577 -0.0974696 -0.0881413
181 900 19821 -0.167877 -0.0179575 -0.142791
182 905 19820 -0.14677 0.0876626 -0.162909
183 910 19819 -0.165586 0.160037 -0.182422
184 915 19818 -0.197959 0.194549 -0.210124
185 920 19817 -0.203618 0.24485 -0.225457
186 925 19816 -0.19898 0.339255 -0.224319
187 930 19815 -0.202535 0.431566 -0.21858
188 935 19814 -0.213977 0.492658 -0.211415
189 940 19813 -0.207546 0.530447 -0.195328
190 945 19812 -0.168044 0.546248 -0.174636
191 950 19811 -0.113291 0.500473 -0.163813
192 955 19810 -0.0553043 0.378078 -0.178762
193 960 19809 0.0151219 0.2187 -0.221746
194 965 19808 0.0974314 0.0839594 -0.27609
195 970 19807 0.154845 -0.0141799 -0.322366
196 975 19806 0.160187 -0.104434 -0.352806
197 980 19805 0.120665 -0.16463 -0.353484
198 985 19804 0.0287643 -0.170343 -0.315022
199 990 19803 -0.0920001 -0.142606 -0.258514
200 995 19802 -0.16759 -0.102071 -0.211658
201 1000 19801 -0.164006 -0.0730035 -0.188151
202 1005 19800 -0.117178 -0.0561726 -0.162852
203 1010 19799 -0.0592179 -0.0416781 -0.120851
204 1015 19798 0.00402183 -0.0538919 -0.085285
205 1020 19797 0.0543691 -0.111703 -0.086491
206 1025 19796 0.0736815 -0.181219 -0.113313
207 1030 19795 0.0617809 -0.219063 -0.138823
208 1035 19794 0.0359545 -0.243551 -0.14984
209 1040 19793 0.01937 -0.286375 -0.135135
210 1045 19792 0.0102193 -0.333617 -0.097847
211 1050 19791 0.00143299 -0.370309 -0.038052
212 1055 19790 -0.0085462 -0.389423 0.0432884
213 1060 19789 -0.0258311 -0.388319 0.119538
214 1065 19788 -0.0565245 -0.37622 0.16175
215 1070 19787 -0.0808031 -0.335443 0.176505
216 1075 19786 -0.0759515 -0.254166 0.201462
217 1080 19785 -0.0331821 -0.162088 0.267389
218 1085 19784 0.051054 -0.101726 0.35628
219 1090 19783 0.148697 -0.0656925 0.421459
220 1095 19782 0.195944 -0.016809 0.441099
221 1100 19781 0.17399 0.0453107 0.433596
222 1105 19780 0.138777 0.0835968 0.4213
223 1110 19779 0.125265 0.0819873 0.39941
224 1115 19778 0.120792 0.0597527 0.358937
225 1120 19777 0.124243 0.0498644 0.304681
226 1125 19776 0.138642 0.0594908 0.247258
227 1130 19775 0.162657 0.0914277 0.200533
228 1135 19774 0.179274 0.136762 0.177684
229 1140 19773 0.164468 0.152911 0.170639
230 1145 19772 0.11323 0.115836 0.16918
231 1150 19771 0.0580512 0.0565452 0.185111
232 1155 19770 0.0179387 0.0227854 0.228258
233 1160 19769 -0.0036051 0.013185 0.282213
234 1165 19768 -0.00858648 -0.0158228 0.326498
235 1170 19767 0.0015792 -0.0741505 0.338524
236 1175 19766 0.0318325 -0.129216 0.287674
237 1180 19765 0.069157 -0.139685 0.164075
238 1185 19764 0.0840831 -0.101174 0.00961644
239 1190 19763 0.066326 -0.0638781 -0.114873
240 1195 19762 0.0247322 -0.0511586 -0.186109
241 1200 19761 -0.0208703 -0.0759431 -0.216513
242 1205 19760 -0.0482029 -0.139549 -0.228928
243 1210 19759 -0.0431361 -0.197038 -0.243995
244 1215 19758 -0.0341691 -0.223266 -0.273382
245 1220 19757 -0.0609238 -0.224046 -0.338555
246 1225 19756 -0.105863 -0.206392 -0.418618
247 1230 19755 -0.144118 -0.16748 -0.446777
248 1235 19754 -0.179608 -0.118062 -0.407472
249 1240 19753 -0.214738 -0.0769721 -0.326835
250 1245 19752 -0.239295 -0.0523086 -0.20996
251 1250 19751 -0.223962 -0.0447832 -0.0635125
252 1255 19750 -0.161005 -0.0439534 0.0684495
253 1260 19749 -0.0985821 -0.0281997 0.130813
254 1265 19748 -0.06252 0.0106565 0.121858
255 1270 19747 -0.0133024 0.0659495 0.0691353
256 1275 19746 0.0672504 0.11857 0.00233254
257 1280 19745 0.132815 0.143552 -0.05443
258 1285 19744 0.134659 0.152192 -0.102318
259 1290 19743 0.0907846 0.164994 -0.149982
260 1295 19742 0.045025 0.174147 -0.192606
261 1300 19741 0.0179807 0.174563 -0.200405
262 1305 19740 0.00660661 0.166628 -0.162876
263 1310 19739 -0.00702995 0.137323 -0.116958
264 1315 19738 -0.029883 0.0863136 -0.0779772
265 1320 19737 -0.0495342 0.0316752 -0.0216802
266 1325 19736 -0.0622564 -0.00831937 0.0628946
267 1330 19735 -0.0779004 -0.0202255 0.133778
268 1335 19734 -0.0992615 -0.00779483 0.170057
269 1340 19733 -0.132441 0.0323133 0.202524
270 1345 19732 -0.171965 0.0845109 0.243515
271 1350 19731 -0.216181 0.123105 0.269084
272 1355 19730 -0.273927 0.124085 0.25564
273 1360 19729 -0.332878 0.0729821 0.199381
274 1365 19728 -0.387057 -0.020584 0.12681
275 1370 19727 -0.447517 -0.128261 0.0828334
276 1375 19726 -0.519229 -0.20221 0.0766641
277 1380 19725 -0.594681 -0.203785 0.0933669
278 1385 19724 -0.644418 -0.151868 0.122559
279 1390 19723 -0.627252 -0.0992935 0.138664
280 1395 19722 -0.54432 -0.0862406 0.115137
281 1400 19721 -0.436744 -0.106206 0.0768396
282 1405 19720 -0.335142 -0.130469 0.0428402
283 1410 19719 -0.23412 -0.146348 0.00961701
284 1415 19718 -0.132698 -0.171896 -0.0214663
285 1420 19717 -0.0532474 -0.222555 -0.0617962
286 1425 19716 0.00716208 -0.273992 -0.118937
287 1430 19715 0.060172 -0.298051 -0.162388
288 1435 19714 0.109385 -0.301103 -0.16439
289 1440 19713 0.150504 -0.299242 -0.142592
290 1445 19712 0.181614 -0.284987 -0.120012
291 1450 19711 0.192842 -0.258128 -0.117006
292 1455 19710 0.171913 -0.216213 -0.172341
293 1460 19709 0.135217 -0.160985 -0.258768
294 1465 19708 0.109073 -0.118366 -0.325889
295 1470 19707 0.0904697 -0.0945351 -0.359615
296 1475 19706 0.0827702 -0.0936849 -0.376271
297 1480 19705 0.107389 -0.0973856 -0.385538
298 1485 19704 0.168547 -0.071375 -0.359242
299 1490 19703 0.246118 -0.0312322 -0.30014
300 1495 19702 0.304793 0.0143769 -0.246641
301 1500 19701 0.326508 0.0816684 -0.213057
302 1505 19700 0.3323 0.150017 -0.189921
303 1510 19699 0.348281 0.202504 -0.177082
304 1515 19698 0.370011 0.264779 -0.186798
305 1520 19697 0.355061 0.336246 -0.215983
306 1525 19696 0.284023 0.386223 -0.247672
307 1530 19695 0.18362 0.379816 -0.2532
308 1535 19694 0.112522 0.314962 -0.209732
309 1540 19693 0.0842668 0.222933 -0.155994
310 1545 19692 0.0751236 0.132667 -0.125449
311 1550 19691 0.0689463 0.0661109 -0.0751104
312 1555 19690 0.0503047 0.0294802 0.0233545
313 1560 19689 0.0248641 0.0241981 0.135037
314 1565 19688 0.0154141 0.0575859 0.221582
315 1570 19687 -0.00335028 0.125737 0.258931
316 1575 19686 -0.051247 0.200402 0.265548
317 1580 19685 -0.10711 0.227414 0.267169
318 1585 19684 -0.136017 0.189547 0.268063
319 1590 19683 -0.125589 0.144764 0.255077
320 1595 19682 -0.0678555 0.12431 0.224359
321 1600 19681 0.0274479 0.105868 0.196573
322 1605 19680 0.121284 0.0550879 0.187295
323 1610 19679 0.193382 -0.0200713 0.197046
324 1615 19678 0.233909 -0.0742142 0.196572
325 1620 19677 0.245418 -0.0896259 0.176614
326 1625 19676 0.256525 -0.0898703 0.16005
327 1630 19675 0.254905 -0.0812801 0.151595
328 1635 19674 0.210849 -0.0511607 0.157312
329 1640 19673 0.135134 -0.0276696 0.188553
330 1645 19672 0.0721864 -0.0433472 0.230337
331 1650 19671 0.0473387 -0.100022 0.259035
332 1655 19670 0.043027 -0.166727 0.237507
333 1660 19669 0.0581189 -0.2157 0.170179
334 1665 19668 0.0992444 -0.249015 0.12292
335 1670 19667 0.164771 -0.277244 0.137149
336 1675 19666 0.233923 -0.305187 0.191642
337 1680 19665 0.281423 -0.32757 0.217694
338 1685 19664 0.28484 -0.323814 0.185973
339 1690 19663 0.245236 -0.280086 0.109086
340 1695 19662 0.182321 -0.18283 0.0144399
341 1700 19661 0.106162 -0.0350664 -0.0766501
342 1705 19660 0.0223309 0.121316 -0.151244
343 1710 19659 -0.0727636 0.234871 -0.195038
344 1715 19658 -0.177594 0.284464 -0.18742
345 1720 19657 -0.250599 0.269282 -0.133595
346 1725 19656 -0.252635 0.224421 -0.079545
347 1730 19655 -0.214308 0.195194 -0.0513091
348 1735 19654 -0.170732 0.203893 -0.0194699
349 1740 19653 -0.135787 0.239894 0.0366576
350 1745 19652 -0.118234 0.275977 0.11164
351 1750 19651 -0.112728 0.297664 0.205641
352 1755 19650 -0.103526 0.296955 0.295317
353 1760 19649 -0.0765023 0.268056 0.343335
354 1765 19648 -0.0467371 0.218182 0.353055
355 1770 19647 -0.0581514 0.15328 0.329089
356 1775 19646 -0.102383 0.0987473 0.283883
357 1780 19645 -0.109258 0.0705876 0.235794
358 1785 19644 -0.0743433 0.0539619 0.183415
359 1790 19643 -0.0609441 0.0393442 0.122307
360 1795 19642 -0.0940098 0.0270589 0.0662982
361 1800 19641 -0.137472 0.0239904 0.0234405
362 1805 19640 -0.155536 0.025075 -0.00447702
363 1810 19639 -0.167961 0.00906429 -0.00830535
364 1815 19638 -0.18614 -0.0184563 0.0134786
365 1820 19637 -0.181981 -0.0359422 0.0661272
366 1825 19636 -0.146538 -0.0304169 0.129893
367 1830 19635 -0.0991058 0.016858 0.17116
368 1835 19634 -0.0842256 0.0868345 0.169859
369 1840 19633 -0.122435 0.125783 0.134694
